timestamp,distance,key,type
10413186.034999996,1038.3299999982119,.,keydown
10413303.280000001,117.24500000476837,.,keyup
10413513.449999996,210.16999999433756,t,keydown
10413585.655000001,72.20500000566244,t,keyup
10413666.375,80.7199999988079,i,keydown
10413757.494999997,91.11999999731779,i,keyup
10413815.314999998,57.82000000029802,e,keydown
10413907.015,91.70000000298023,e,keyup
10414441.350000001,534.3350000008941,5,keydown
10414518.754999995,77.40499999374151,5,keyup
10415235.544999994,716.7899999991059,Shift,keydown
10415248.689999998,13.145000003278255,R,keydown
10415261.280000001,12.590000003576279,Shift,keyup
10415351.43,90.14999999850988,r,keyup
10415802.225000001,450.79500000178814,o,keydown
10415917.100000001,114.875,o,keyup
10416014.629999995,97.52999999374151,a,keydown
10416118.43,103.80000000447035,a,keyup
10416231.530000001,113.10000000149012,n,keydown
10416332.464999996,100.9349999949336,n,keyup
10416466.144999996,133.67999999970198,l,keydown
10416561.39,95.24500000476837,l,keyup
10416717.055,155.66499999910593,Enter,keydown
10416787.704999998,70.64999999850988,Enter,keyup
10417001.294999994,213.5899999961257,.,keydown
10417116.43,115.13500000536442,.,keyup
10417299.729999997,183.29999999701977,t,keydown
10417388.614999995,88.88499999791384,t,keyup
10417439.309999995,50.69500000029802,i,keydown
10417558.280000001,118.97000000625849,i,keyup
10417592.64,34.35999999940395,e,keydown
10417671.93,79.28999999910593,e,keyup
10417845.43,173.5,5,keydown
10417911.39,65.96000000089407,5,keyup
10418299.329999998,387.9399999976158,Shift,keydown
10418312.504999995,13.174999997019768,R,keydown
10418325.044999994,12.53999999910593,Shift,keyup
10418405.879999995,80.83500000089407,r,keyup
10418719.585,313.70500000566244,o,keydown
10418816.555,96.9699999988079,o,keyup
10418948.339999996,131.78499999642372,a,keydown
10419027.945,79.60500000417233,a,keyup
10419178.329999998,150.38499999791384,n,keydown
10419262.854999997,84.52499999850988,n,keyup
10419387.824999996,124.9699999988079,l,keydown
10419475.21,87.38500000536442,l,keyup
10419622.339999996,147.12999999523163,Enter,keydown
10419698.049999997,75.71000000089407,Enter,keyup
10419910.975000001,212.92500000447035,.,keydown
10420039.784999996,128.8099999949336,.,keyup
10420271.18,231.39500000327826,t,keydown
10420369.184999995,98.00499999523163,t,keyup
10420408.799999997,39.61500000208616,i,keydown
10420488.68,79.88000000268221,i,keyup
10420506.544999994,17.864999994635582,e,keydown
10420596.699999996,90.1550000011921,e,keyup
10420763.949999996,167.25,5,keydown
10420843.634999998,79.68500000238419,5,keyup
10421202.019999996,358.38499999791384,Shift,keydown
10421214.894999996,12.875,R,keydown
10421227.875,12.980000004172325,Shift,keyup
10421294.235,66.35999999940395,r,keyup
10421568.634999998,274.3999999985099,o,keydown
10421642.824999996,74.18999999761581,o,keyup
10421761.559999995,118.73499999940395,a,keydown
10421851.129999995,89.57000000029802,a,keyup
10421888.280000001,37.150000005960464,n,keydown
10421984.814999998,96.53499999642372,n,keyup
10422132.015,147.20000000298023,l,keydown
10422200.86,68.8449999988079,l,keyup
10422423.780000001,222.92000000178814,Enter,keydown
10422463.119999997,39.3399999961257,Enter,keyup
10422676.305,213.1850000023842,.,keydown
10422775.269999996,98.9649999961257,.,keyup
10422938.100000001,162.83000000566244,t,keydown
10423013.225000001,75.125,t,keyup
10423049.265,36.03999999910593,i,keydown
10423126.854999997,77.5899999961257,i,keyup
10423150.174999997,23.320000000298023,e,keydown
10423206.964999996,56.78999999910593,e,keyup
10424016.604999997,809.640000000596,5,keydown
10424082.844999999,66.24000000208616,5,keyup
10424622.364999995,539.5199999958277,Shift,keydown
10424635.339999996,12.975000001490116,R,keydown
10424648.119999997,12.780000001192093,Shift,keyup
10424748.739999995,100.61999999731779,r,keyup
10425192.574999996,443.83500000089407,o,keydown
10425300.284999996,107.71000000089407,o,keyup
10425354.509999998,54.225000001490116,a,keydown
10425450.469999999,95.96000000089407,n,keydown
10425467.844999999,17.375,a,keyup
10425561.309999995,93.4649999961257,n,keyup
10425685.754999995,124.44500000029802,l,keydown
10425783.695,97.9400000050664,l,keyup
10425924.299999997,140.60499999672174,Enter,keydown
10426022.809999995,98.50999999791384,Enter,keyup
10426236.369999997,213.5600000023842,.,keydown
